Diagnosed Diabetes; Crude; Number; Adults Aged 20+ Years; Texas Counties; 2019
Data downloaded on 19-January-2022
County,State,CountyFIPS,Number,Lower Limit, Upper Limit
Anderson County,Texas,48001,4189,2786,6311
Andrews County,Texas,48003,878,554,1260
Angelina County,Texas,48005,8900,7606,10187
Aransas County,Texas,48007,2543,1873,3339
Archer County,Texas,48009,621,401,907
Armstrong County,Texas,48011,136,80,215
Atascosa County,Texas,48013,2949,1824,4305
Austin County,Texas,48015,2321,1540,3302
Bailey County,Texas,48017,364,230,551
Bandera County,Texas,48019,1893,1152,2750
Bastrop County,Texas,48021,7450,5395,9700
Baylor County,Texas,48023,244,148,363
Bee County,Texas,48025,1870,1078,2953
Bell County,Texas,48027,24451,16949,33931
Bexar County,Texas,48029,163203,137586,190007
Blanco County,Texas,48031,971,601,1427
Borden County,Texas,48033,52,33,78
Bosque County,Texas,48035,1396,869,2080
Bowie County,Texas,48037,6647,4199,9634
Brazoria County,Texas,48039,32768,27434,39493
Brazos County,Texas,48041,13506,10760,16536
Brewster County,Texas,48043,659,422,1003
Briscoe County,Texas,48045,116,71,169
Brooks County,Texas,48047,420,265,623
Brown County,Texas,48049,2774,1735,4071
Burleson County,Texas,48051,1340,815,2045
Burnet County,Texas,48053,3559,2268,5254
Caldwell County,Texas,48055,3127,2111,4399
Calhoun County,Texas,48057,1825,1288,2492
Callahan County,Texas,48059,1076,684,1604
Cameron County,Texas,48061,36572,30168,43264
Camp County,Texas,48063,883,557,1253
Carson County,Texas,48065,413,246,608
Cass County,Texas,48067,2131,1342,3214
Castro County,Texas,48069,439,265,636
Chambers County,Texas,48071,2461,1555,3667
Cherokee County,Texas,48073,4160,2599,6040
Childress County,Texas,48075,419,247,632
Clay County,Texas,48077,885,583,1255
Cochran County,Texas,48079,172,106,254
Coke County,Texas,48081,256,157,377
Coleman County,Texas,48083,628,403,934
Collin County,Texas,48085,58154,42327,75849
Collingsworth County,Texas,48087,186,114,286
Colorado County,Texas,48089,1882,1231,2603
Comal County,Texas,48091,10109,7062,13827
Comanche County,Texas,48093,996,609,1505
Concho County,Texas,48095,216,129,329
Cooke County,Texas,48097,2656,1717,4009
Coryell County,Texas,48099,4228,2689,6054
Cottle County,Texas,48101,102,62,149
Crane County,Texas,48103,249,153,373
Crockett County,Texas,48105,214,134,325
Crosby County,Texas,48107,362,219,539
Culberson County,Texas,48109,153,94,237
