Diagnosed Diabetes; Crude; Percentage; Adults Aged 20+ Years; Texas Counties; 2019
Data downloaded on 19-January-2022
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Anderson County,Texas,48001,9.2,6.1,13.8
Andrews County,Texas,48003,7.1,4.5,10.2
Angelina County,Texas,48005,14.2,12.2,16.3
Aransas County,Texas,48007,13.4,9.9,17.6
Archer County,Texas,48009,9.5,6.1,13.9
Armstrong County,Texas,48011,9.6,5.6,15.1
Atascosa County,Texas,48013,8.2,5.1,12.0
Austin County,Texas,48015,10.5,6.9,14.9
Bailey County,Texas,48017,7.9,5.0,11.9
Bandera County,Texas,48019,10.0,6.1,14.5
Bastrop County,Texas,48021,11.7,8.4,15.2
Baylor County,Texas,48023,9.3,5.6,13.8
Bee County,Texas,48025,7.5,4.4,11.9
Bell County,Texas,48027,9.7,6.7,13.4
Bexar County,Texas,48029,11.3,9.6,13.2
Blanco County,Texas,48031,10.2,6.3,14.9
Borden County,Texas,48033,10.3,6.4,15.2
Bosque County,Texas,48035,9.7,6.0,14.5
Bowie County,Texas,48037,9.6,6.1,13.9
Brazoria County,Texas,48039,12.3,10.3,14.8
Brazos County,Texas,48041,8.1,6.4,9.9
Brewster County,Texas,48043,9.0,5.8,13.7
Briscoe County,Texas,48045,9.6,5.9,13.9
Brooks County,Texas,48047,8.5,5.4,12.6
Brown County,Texas,48049,9.7,6.1,14.2
Burleson County,Texas,48051,9.6,5.8,14.6
Burnet County,Texas,48053,9.6,6.1,14.2
Caldwell County,Texas,48055,9.8,6.6,13.7
Calhoun County,Texas,48057,11.6,8.2,15.9
Callahan County,Texas,48059,10.1,6.5,15.1
Cameron County,Texas,48061,12.9,10.7,15.3
Camp County,Texas,48063,9.4,6.0,13.4
Carson County,Texas,48065,9.4,5.6,13.8
Cass County,Texas,48067,9.4,5.9,14.1
Castro County,Texas,48069,8.5,5.1,12.3
Chambers County,Texas,48071,8.1,5.1,12.0
Cherokee County,Texas,48073,11.0,6.9,16.0
Childress County,Texas,48075,7.3,4.3,11.0
Clay County,Texas,48077,10.8,7.1,15.3
Cochran County,Texas,48079,8.5,5.2,12.6
Coke County,Texas,48081,9.9,6.1,14.6
Coleman County,Texas,48083,9.9,6.4,14.7
Collin County,Texas,48085,7.8,5.7,10.2
Collingsworth County,Texas,48087,8.8,5.4,13.5
Colorado County,Texas,48089,11.7,7.7,16.2
Comal County,Texas,48091,8.6,6.0,11.7
Comanche County,Texas,48093,9.7,5.9,14.6
Concho County,Texas,48095,9.9,5.9,15.1
Cooke County,Texas,48097,8.7,5.6,13.1
Coryell County,Texas,48099,7.4,4.7,10.6
Cottle County,Texas,48101,9.8,6.0,14.3
Crane County,Texas,48103,7.6,4.7,11.4
Crockett County,Texas,48105,8.5,5.3,12.9
Crosby County,Texas,48107,8.9,5.4,13.2
Culberson County,Texas,48109,9.4,5.8,14.5
Dallam County,Texas,48111,7.6,4.8,11.4
Dallas County,Texas,48113,9.5,7.9,11.5
Dawson County,Texas,48115,7.6,4.7,11.3
Deaf Smith County,Texas,48117,7.5,4.5,11.5
Delta County,Texas,48119,9.4,6.2,14.2
Denton County,Texas,48121,8.8,6.4,11.4
Dewitt County,Texas,48123,9.1,5.8,13.9
Dickens County,Texas,48125,9.1,5.7,13.6
Dimmit County,Texas,48127,8.1,5.0,12.1
Donley County,Texas,48129,9.6,5.8,14.4
Duval County,Texas,48131,8.7,5.5,13.1
