Diagnosed Diabetes; Age-Adjusted; Rank; Adults Aged 20+ Years; Texas Counties; 2019
Data downloaded on 19-January-2022
County,State,CountyFIPS,Rank,Lower Limit, Upper Limit
Anderson County,Texas,48001,1486,335,2935
Andrews County,Texas,48003,817,58,2257
Angelina County,Texas,48005,2951,2616,3084
Aransas County,Texas,48007,2119,904,2872
Archer County,Texas,48009,993,90,2500
Armstrong County,Texas,48011,647,38,2481
Atascosa County,Texas,48013,883,50,2457
Austin County,Texas,48015,1449,232,2783
Bailey County,Texas,48017,648,38,2187
Bandera County,Texas,48019,672,28,2179
Bastrop County,Texas,48021,2368,1178,2971
Baylor County,Texas,48023,646,40,2347
Bee County,Texas,48025,1031,50,2726
Bell County,Texas,48027,2309,945,3016
Bexar County,Texas,48029,2733,2214,2991
Blanco County,Texas,48031,838,53,2462
Borden County,Texas,48033,775,53,2422
Bosque County,Texas,48035,720,38,2305
Bowie County,Texas,48037,1428,196,2847
Brazoria County,Texas,48039,2819,2378,3063
Brazos County,Texas,48041,2128,1210,2763
Brewster County,Texas,48043,661,48,2368
Briscoe County,Texas,48045,734,35,2326
Brooks County,Texas,48047,803,49,2333
Brown County,Texas,48049,1147,90,2644
Burleson County,Texas,48051,899,68,2593
Burnet County,Texas,48053,857,79,2440
Caldwell County,Texas,48055,1737,393,2880
Calhoun County,Texas,48057,2178,783,3005
Callahan County,Texas,48059,1153,136,2753
Cameron County,Texas,48061,2891,2404,3074
Camp County,Texas,48063,1140,124,2510
Carson County,Texas,48065,868,58,2443
Cass County,Texas,48067,777,43,2418
Castro County,Texas,48069,834,50,2404
Chambers County,Texas,48071,1079,116,2612
Cherokee County,Texas,48073,1969,312,2985
Childress County,Texas,48075,889,47,2407
Clay County,Texas,48077,1305,185,2665
Cochran County,Texas,48079,816,54,2481
Coke County,Texas,48081,640,39,2339
Coleman County,Texas,48083,677,67,2414
Collin County,Texas,48085,961,234,2101
Collingsworth County,Texas,48087,783,43,2507
Colorado County,Texas,48089,1856,457,2887
Comal County,Texas,48091,661,96,2081
Comanche County,Texas,48093,711,44,2364
Concho County,Texas,48095,756,39,2502
Cooke County,Texas,48097,735,52,2352
Coryell County,Texas,48099,1376,192,2734
Cottle County,Texas,48101,792,43,2410
Crane County,Texas,48103,720,51,2356
Crockett County,Texas,48105,590,36,2364
Crosby County,Texas,48107,741,54,2465
Culberson County,Texas,48109,789,51,2536
Dallam County,Texas,48111,729,60,2371
Dallas County,Texas,48113,2135,1387,2755
Dawson County,Texas,48115,774,47,2366
Deaf Smith County,Texas,48117,702,30,2377
Delta County,Texas,48119,800,67,2502
Denton County,Texas,48121,1659,630,2651
Dewitt County,Texas,48123,758,60,2603
Dickens County,Texas,48125,787,57,2460
Dimmit County,Texas,48127,577,30,2277
Donley County,Texas,48129,714,37,2482
Duval County,Texas,48131,826,77,2594
