GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""48000""",Texas,6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1021693421,1042350828,1048182057,1104047484,1132550438,1209018208,1273882123,1274662096,1270964642,1301808333,1343700795,1410447780,1470464598,1518613703,1595969487,1606579778,1651329487,1715231030,1764357169
"""48000""",Texas,6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,72.438,73.902,74.316,78.276,80.297,85.719,90.318,90.373,90.111,92.298,95.268,100.000,104.255,107.669,113.153,113.906,117.078,121.609,125.092
"""48000""",Texas,6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,772909215,787719828,829722940,907476242,986202690,1084171789,1178221056,1236361813,1162971808,1237303969,1331138439,1410447780,1500554283,1568070763,1564374328,1567687051,1665428019,1795635147,1843802699
"""48001""","Anderson, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,1527623,1543492,1517398,1486990,1490085,1648286,1782083,1776613,1711409,1747707,1762332,1767923,1716334,1706746,1681229,1721880,1759551,1843816,1910774
"""48001""","Anderson, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,86.408,87.305,85.829,84.109,84.284,93.233,100.801,100.492,96.803,98.857,99.684,100.000,97.082,96.540,95.096,97.396,99.526,104.293,108.080
"""48001""","Anderson, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1105488,1116352,1168529,1202405,1287311,1472948,1659914,1765207,1605848,1690369,1743441,1767923,1759740,1779862,1740447,1798134,1869411,2004735,2111672
"""48003""","Andrews, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2020367,2666543,1914693,1919464,1995763,2487687,2715861,2655744,3303080,3195043,3681429,4891918,4631682,4530262,4719317,4719289,4750977,4999914,4855010
"""48003""","Andrews, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,41.300,54.509,39.140,39.237,40.797,50.853,55.517,54.288,67.521,65.313,75.255,100.000,94.680,92.607,96.472,96.471,97.119,102.208,99.246
"""48003""","Andrews, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,1052949,1175310,1247664,1478502,2034156,2573975,2985001,3879343,2582313,3265904,4259685,4891918,4953172,4707290,2605171,2299875,2877100,3554771,2868790
"""48005""","Angelina, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,2511003,2514878,2550766,2650397,2635436,2809612,2935110,3033956,3014100,3050097,3143845,3263917,3134083,3110942,3049011,2901639,2925228,3045450,3166166
"""48005""","Angelina, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,76.932,77.051,78.150,81.203,80.745,86.081,89.926,92.954,92.346,93.449,96.321,100.000,96.022,95.313,93.416,88.900,89.623,93.307,97.005
"""48005""","Angelina, TX",6,CAGDP1,3,...,Current-dollar GDP (thousands of current dollars),Thousands of dollars,2030371,2065554,2126104,2276413,2332879,2556607,2737684,2910035,2844765,2942824,3077897,3263917,3216898,3258826,3239838,3128459,3202548,3413929,3566250
"""48007""","Aransas, TX",6,CAGDP1,1,...,Real GDP (thousands of chained 2012 dollars),Thousands of chained 2012 dollars,493350,511346,535277,525952,515955,602236,659933,607953,596017,573021,581875,604764,609296,650968,660068,630507,598584,595730,626686
"""48007""","Aransas, TX",6,CAGDP1,2,...,Chain-type quantity indexes for real GDP,Quantity index,81.577,84.553,88.510,86.968,85.315,99.582,109.122,100.527,98.554,94.751,96.215,100.000,100.749,107.640,109.145,104.257,98.978,98.506,103.625
